Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
1000 Acre,6.5085577,-2.592602,227.0,530.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,9.11,0.81,38.04244336232272
A.G.A,6.1985302,-1.6641394,223.0,12632.0,WorldPop_2020,suburb,Unnamed Hospital,Hospital,6.203002,-1.6847518,2.33,0.33,90.81157749160353
AB Bokazo,5.0090926,-2.4365667,26.0,1698.0,WorldPop_2020,village/town/hamlet,Kamgbunli Clinic,Clinic,4.9771869,-2.415183,4.27,0.81,129.8144834886286
ABREWANKOR,8.3496438,0.5032843,231.0,739.0,WorldPop_2020,village/town/hamlet,Keri CHPS Compound,Clinic,8.3863316,0.5275486,4.88,0.53,83.38403727490352
Aaba,10.4326537,-1.1046302,145.0,1262.0,WorldPop_2020,village/town/hamlet,Kpasinkpe Health Centre,Clinic,10.4471711,-1.0469888,6.51,0.53,34.30963450192497
Abaam,6.2175323,-0.8315625,181.0,3744.0,WorldPop_2020,village/town/hamlet,Abodom CHPS Compound,Clinic,6.1642186,-0.8186405,6.1,0.53,42.67982480005406
Abaasa,5.3652643,-0.9475264,97.0,7576.0,WorldPop_2020,village/town/hamlet,GHS,Clinic,5.3833164,-0.9250126,3.2,0.92,107.97817494738096
Abaasa,5.5880185,-1.6215375,70.0,359.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.6137342,-1.5527295,8.13,0.92,115.95943053924732
Abaase,6.5141918,-1.4426229,134.0,299.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,6.1,0.53,60.08530359955966
Abaasua,6.9774279,-1.3994698,346.0,429.0,WorldPop_2020,village/town/hamlet,Nsuta Polyclinic,Clinic,7.0083969,-1.3816722,3.96,0.91,8.662103863654185
