K,Inertie,Silhouette,Davies_Bouldin,Couverture_fac_pct,Couverture_pop_pct
5,597.25,0.5115,0.6703,66.61,78.04
6,476.17,0.5033,0.7138,70.87,82.1
7,380.52,0.5106,0.6922,76.17,81.89
8,332.49,0.5131,0.676,82.09,89.3
9,286.35,0.5088,0.6957,84.61,88.76
10,250.63,0.5004,0.7054,89.57,94.74
11,209.99,0.5191,0.6727,92.96,97.07
12,188.03,0.5131,0.6931,94.52,98.66
13,168.81,0.5205,0.6646,96.09,99.07
14,151.89,0.5212,0.6916,97.13,99.45
15,139.36,0.5235,0.6817,97.65,99.47
16,128.48,0.518,0.6513,98.7,99.92
17,117.96,0.5219,0.6644,98.78,99.14
18,113.73,0.523,0.6842,99.48,99.94
19,106.76,0.5072,0.6719,99.3,99.94
20,99.92,0.5052,0.6485,98.87,99.87
21,90.77,0.5042,0.6745,99.57,99.94
22,83.47,0.5268,0.6815,99.65,99.95
23,80.6,0.5174,0.6797,99.74,99.95
24,74.95,0.5229,0.6614,99.65,99.95
25,73.66,0.503,0.7043,99.74,99.95
26,69.4,0.4976,0.6945,99.65,99.95
27,65.58,0.5214,0.6839,99.83,99.95
28,63.24,0.5246,0.6646,99.74,99.95
29,61.44,0.5028,0.7008,99.74,99.95
30,57.94,0.519,0.6934,100.0,100.0
31,55.3,0.5238,0.6561,100.0,100.0
32,52.19,0.5206,0.6655,100.0,100.0
33,49.87,0.5034,0.697,100.0,100.0
34,49.29,0.5011,0.7196,99.91,99.99
35,47.12,0.5154,0.6878,99.91,99.99
