K,Inertie,Silhouette,Davies_Bouldin,Couverture_fac_pct,Couverture_pop_pct
5,813.5,0.6546,0.5663,80.96,80.03
6,661.1,0.6443,0.6523,83.43,84.35
7,544.5,0.6533,0.6051,86.52,89.7
8,468.47,0.6495,0.6191,87.29,89.14
9,402.64,0.6581,0.6413,90.38,92.34
10,336.34,0.6567,0.6265,93.22,93.15
11,288.69,0.6503,0.6303,94.4,96.55
12,259.47,0.6261,0.6643,96.1,97.03
13,232.88,0.6387,0.6115,97.16,97.92
14,209.45,0.643,0.6418,96.95,98.69
15,186.42,0.6455,0.6324,98.13,99.47
16,176.69,0.6412,0.6511,98.54,99.5
17,158.9,0.6471,0.63,99.39,99.92
18,150.37,0.6419,0.6776,99.23,99.9
19,134.72,0.6564,0.6204,99.68,99.94
20,125.45,0.6317,0.5948,99.39,99.92
21,121.19,0.6135,0.6311,99.63,99.97
22,109.95,0.5189,0.6624,99.72,99.94
23,104.72,0.6277,0.6323,99.84,99.95
24,95.1,0.5243,0.6326,99.8,99.9
25,91.02,0.6347,0.6272,99.88,99.95
26,86.76,0.5254,0.6205,99.84,99.9
27,85.32,0.5267,0.6353,99.72,99.94
28,77.85,0.5383,0.5954,99.96,99.99
29,77.61,0.5276,0.6319,99.84,99.95
30,70.66,0.5379,0.6229,99.92,99.95
31,68.82,0.5232,0.6671,100.0,100.0
32,66.05,0.5366,0.6333,99.92,99.95
33,62.27,0.5178,0.6522,100.0,100.0
34,58.83,0.5325,0.6426,100.0,100.0
35,57.85,0.5345,0.6241,99.92,99.95
