Facility_Name,Latitude,Longitude,Facility_Type,Hub_ID,Dist_hub_km,Covered,Operateur
Abotanse CHPs Compound,7.0798809,-0.0957694,CHPS,29,71.68,True,Zipline
Adaklu Ablornu CHPs Compound,6.3488205,0.6367137,CHPS,29,54.65,True,Zipline
Adukrom CHPs Compound,7.0140064,-0.0952629,CHPS,29,65.0,True,Zipline
Agordeke CHPs Compound,7.0558061,0.1203525,CHPS,29,63.25,True,Zipline
Akome CHPs Compound,6.8200771,0.4678395,CHPS,29,49.97,True,Zipline
Alogboshie CHPS Compound,5.6266848,-0.2320251,CHPS,25,68.29,True,Zipline
Ampeyo CHPs Compound,7.7690975,0.5600684,CHPS,30,63.16,True,Zipline
Amuzudeue CHPs Compound,6.5037605,0.6293018,CHPS,29,51.6,True,Zipline
Anfoeta Zongo CHPs Compound,6.7403375,0.3913102,CHPS,29,37.72,True,Zipline
Asikasu CHPs Compound,7.0395861,-0.0821343,CHPS,29,66.97,True,Zipline
Atidze CHPs Compound,6.713719,0.5192051,CHPS,29,46.69,True,Zipline
Atobiata CHPs Compound,7.4075371,0.473577,CHPS,30,68.97,True,Zipline
Atomkongu CHPS Compound,10.8351122,-1.0003225,CHPS,27,58.38,True,Zipline
Attakorah CHPs Compound,7.046312,-0.0886518,CHPS,29,67.94,True,Zipline
Attakrom CHPs Compound,7.47321,0.4451324,CHPS,30,62.04,True,Zipline
Avee CHPs Compound,6.7689535,0.5408405,CHPS,29,52.14,True,Zipline
Awudome Avenui CHPs Compound,6.6006191,0.3141154,CHPS,29,20.88,True,Zipline
Bontibor CHPs Compound,8.0896256,0.4973144,CHPS,30,64.83,True,Zipline
Busec CHPs Compound,7.4243914,0.462443,CHPS,30,66.83,True,Zipline
Chuchukope CHPs Compound,6.7186375,-0.1538484,CHPS,29,43.31,True,Zipline
Dadiase CHPs Compound,8.2335103,0.5441421,CHPS,30,78.11,True,Zipline
Donkorkrom Central CHPs Compound,7.0473648,-0.0806923,CHPS,29,67.7,True,Zipline
Dortorpong Sikasu CHPs Compound,6.7377159,-0.3456442,CHPS,25,60.52,True,Zipline
Guaman CHPs Compound,7.4480408,0.4425852,CHPS,30,63.49,True,Zipline
Gyamlome CHPs Compound,7.5811885,0.4434741,CHPS,30,55.74,True,Zipline
Have CHPs Compound,6.527771,0.438216,CHPS,29,30.77,True,Zipline
Hodzoka CHPs Compound,6.6701113,0.5752478,CHPS,29,49.87,True,Zipline
Hovered CHPs Compound,6.5981169,0.4302969,CHPS,29,32.0,True,Zipline
Kabisayor CHPs Compound,7.4146162,0.4726591,CHPS,30,68.39,True,Zipline
Koranteng CHPs Compound,7.0584876,-0.1624817,CHPS,29,72.83,True,Zipline
Koranteng Krachi CHPs,7.0950537,-0.1914645,CHPS,29,77.95,True,Zipline
Kpazie Community Health Planning and Service (CHPS) Compound,10.4123906,-2.6956042,CHPS,19,23.01,True,MASA
Kpenoe CHPs Compound,6.6314431,0.5109812,CHPS,29,41.65,True,Zipline
Kpoeta (Kpɔ̃ta) CHPs Compound,6.9094205,0.5426818,CHPS,2,19.54,True,MASA
Kwaekesse CHPs Compound,7.0574664,-0.1161307,CHPS,29,70.35,True,Zipline
Kwame Dwamena CHPs Compound,6.7409956,-0.3117113,CHPS,29,59.43,True,Zipline
Kwesi Kumah CHPs Compound,6.9705129,-0.1632476,CHPS,29,64.55,True,Zipline
Lokoe CHPs Compound,6.5994827,0.4441626,CHPS,29,33.47,True,Zipline
Luvudo CHPs Compound,6.8762788,0.5249901,CHPS,2,23.45,True,MASA
Mafikope CHPs Compound,7.1693366,0.0336491,CHPS,30,70.1,True,Zipline
Mmradan CHPs Compound,7.0208187,-0.2189973,CHPS,29,72.65,True,Zipline
Okanease CHPs,7.742699,0.3662283,CHPS,30,42.18,True,Zipline
Okanta CHPs Compound,7.54357,0.4871833,CHPS,30,61.91,True,Zipline
Tapa Amanya CHPs Compound,7.4517949,0.3407377,CHPS,30,54.76,True,Zipline
Tease Island CHPs Compound,6.7618993,-0.2323986,CHPS,29,53.17,True,Zipline
Teteman CHPs Compound,7.3036365,0.5081259,CHPS,2,25.03,True,MASA
Tokokoe CHPs Compound,6.718498,0.5555533,CHPS,29,50.39,True,Zipline
kwasi Addae CHPs Compound,7.0120056,-0.231568,CHPS,29,72.68,True,Zipline
21st Clinic,5.3030901,-1.9927007,Clinic,6,9.03,True,MASA
Aboadze Clinic,4.9733344,-1.6500323,Clinic,3,8.29,True,MASA
Abodom CHPS Compound,6.1642186,-0.8186405,Clinic,25,41.39,True,Zipline
Aboso Clinic,5.3658203,-1.9409662,Clinic,6,0.0,True,MASA
Abotoase Health Centre,7.4064593,0.3032677,Clinic,30,55.75,True,Zipline
Abubruwa CHPS Compound,7.9330107,0.5377045,Clinic,30,62.43,True,Zipline
Abura Clinic,5.1311773,-1.2727752,Clinic,1,25.33,True,MASA
Accra New Town CHPS Compound,5.5830514,-0.2059619,Clinic,25,73.85,True,Zipline
Acheampong Specialist Clinic,5.5616954,-0.1725763,Clinic,25,77.44,True,Zipline
Achievers Medical Centre/Pharmacy,6.6252406,-1.2075522,Clinic,26,51.62,True,Zipline
Achimfo Chips,5.7842722,-2.7227839,Clinic,28,51.48,True,Zipline
Acolatse Clinic,6.7051444,-1.6471662,Clinic,26,48.41,True,Zipline
Adaa CHPS Compound,7.2445264,-1.8550088,Clinic,26,55.94,True,Zipline
Adabraka clinic,5.5662728,-0.2095995,Clinic,25,75.45,True,Zipline
Adaklu Ahunda Health Centre,6.2884718,0.5447816,Clinic,29,47.74,True,Zipline
Adawukwao CHIPS Compound,5.6721049,-0.5151614,Clinic,25,59.49,True,Zipline
Addis Medical Laboratory,7.3330164,-2.3215114,Clinic,8,21.36,True,MASA
Adeiso Polyclinic,5.7995879,-0.4906689,Clinic,25,45.09,True,Zipline
Adenta Clinic,5.7060649,-0.1681089,Clinic,25,63.21,True,Zipline
Adowa Boatemaa Memorial Clinic,5.5330576,-0.2373638,Clinic,25,77.96,True,Zipline
Afenyo Memorial Hospital,5.6921057,-0.0342412,Clinic,25,72.8,True,Zipline
Agbogba Community Clinic,5.6949529,-0.2012443,Clinic,25,62.62,True,Zipline
Ahamasu Health Centre,7.7255265,0.5502959,Clinic,30,62.53,True,Zipline
Ahmadiyya,6.8940491,-2.5651706,Clinic,28,79.68,True,Zipline
Airport Clinic Limited,5.608267,-0.1709184,Clinic,25,72.77,True,Zipline
Airport Clinic Limited,5.6074867,-0.1712902,Clinic,25,72.84,True,Zipline
Akai House Clinic,5.5772342,-0.171563,Clinic,25,75.89,True,Zipline
Albany Specialist Clinic,5.6701424,-0.1838431,Clinic,25,65.94,True,Zipline
All Care Medical Center,5.7080264,-0.0149194,Clinic,25,72.81,True,Zipline
All Faith Clinic,5.5429511,-0.3350059,Clinic,25,74.38,True,Zipline
Amamorley Health Centre,5.6634783,-0.2968717,Clinic,25,62.19,True,Zipline
Ameco Clinic,6.8438867,0.4380732,Clinic,2,29.91,True,MASA
Amen Scientific Herbal Clinic,5.8038321,-2.8246973,Clinic,28,56.42,True,Zipline
Amerilife Spine Clinic,6.693929,-1.6458691,Clinic,26,49.33,True,Zipline
Anglican Medical Center,5.6972601,-0.2811363,Clinic,25,59.09,True,Zipline
Ankaako CHPS Compound,5.3891941,-1.4548716,Clinic,10,14.23,True,MASA
Anloga Avete Clinic,5.7916311,0.8825777,Clinic,-1,-1.0,False,Aucun
Anomangye Specialist Hospital,6.7240929,-1.6399322,Clinic,26,46.25,True,Zipline
Ansaful CHPS Compound,5.3875577,-0.648335,Clinic,4,0.0,True,MASA
Anyinasuso Health Centre,6.9590279,-2.100323,Clinic,26,79.6,True,Zipline
Anyirawase CHPs Compound,6.5757507,0.3122873,Clinic,29,19.18,True,Zipline
Apenamadi chips compound,6.9264342,-2.4563998,Clinic,8,26.53,True,MASA
Asanyansu Clinic,7.0386905,-0.5199449,Clinic,-1,-1.0,False,Aucun
Asarekrom CHPS,6.5762288,-2.6390223,Clinic,28,47.04,True,Zipline
Asato-Wawaso CHPS Compound,7.6545297,0.4441794,Clinic,30,52.79,True,Zipline
Ashaiman Poly Clinic,5.6865054,-0.0397182,Clinic,25,72.91,True,Zipline
Asiedu Memorial Clinic,6.0930368,-0.25317,Clinic,25,24.58,True,Zipline
Asubingya chip compounds,7.7429908,-2.0629199,Clinic,-1,-1.0,False,Aucun
Asuboi chips compound,7.2994445,-2.0487166,Clinic,5,24.61,True,MASA
Asukawkaw Health Centre,7.6882864,0.3663789,Clinic,30,43.49,True,Zipline
At Jude Clinic,10.8941505,-1.0885918,Clinic,27,68.35,True,Zipline
Atekyem Medical Center,6.0785084,-0.2690214,Clinic,25,23.97,True,Zipline
