Facility_Name,Facility_Type,Latitude,Longitude,Data_Sources,Confidence_Score,OSM_ID,Operator
Abotanse CHPs Compound,CHPS,7.0798809,-0.0957694,"OSM,HDX",0.67,8507017600,
Adaklu Ablornu CHPs Compound,CHPS,6.3488205,0.6367137,"OSM,HDX",0.67,8564385285,
Adukrom CHPs Compound,CHPS,7.0140064,-0.0952629,"OSM,HDX",0.67,8507559106,
Agordeke CHPs Compound,CHPS,7.0558061,0.1203525,"OSM,HDX",0.67,8510344969,
Akome CHPs Compound,CHPS,6.8200771,0.4678395,"OSM,HDX",0.67,8583291384,
Alogboshie CHPS Compound,CHPS,5.6266848,-0.2320251,OSM,0.63,615395145,government
Ampeyo CHPs Compound,CHPS,7.7690975,0.5600684,"OSM,HDX",0.67,8645221487,
Amuzudeue CHPs Compound,CHPS,6.5037605,0.6293018,"OSM,HDX",0.67,8563325015,
Anfoeta Zongo CHPs Compound,CHPS,6.7403375,0.3913102,"OSM,HDX",0.67,8583254543,
Asikasu CHPs Compound,CHPS,7.0395861,-0.0821343,"OSM,HDX",0.67,8500132756,
Atidze CHPs Compound,CHPS,6.713719,0.5192051,"OSM,HDX",0.67,8564393292,
Atobiata CHPs Compound,CHPS,7.4075371,0.473577,"OSM,HDX",0.67,8614146237,
Atomkongu CHPS Compound,CHPS,10.8351122,-1.0003225,OSM,0.53,808819142,
Attakorah CHPs Compound,CHPS,7.046312,-0.0886518,"OSM,HDX",0.67,8499837804,
Attakrom CHPs Compound,CHPS,7.47321,0.4451324,"OSM,HDX",0.67,8614117401,
Avee CHPs Compound,CHPS,6.7689535,0.5408405,"OSM,HDX",0.67,8564403658,
Awudome Avenui CHPs Compound,CHPS,6.6006191,0.3141154,"OSM,HDX",0.67,8573162141,
Bontibor CHPs Compound,CHPS,8.0896256,0.4973144,"OSM,HDX",0.67,8645212884,
Busec CHPs Compound,CHPS,7.4243914,0.462443,"OSM,HDX",0.67,8614138590,
Chuchukope CHPs Compound,CHPS,6.7186375,-0.1538484,"OSM,HDX",0.67,8521394219,
Dadiase CHPs Compound,CHPS,8.2335103,0.5441421,"OSM,HDX",0.67,8645228719,
Donkorkrom Central CHPs Compound,CHPS,7.0473648,-0.0806923,"OSM,HDX",0.67,8499509164,
Dortorpong Sikasu CHPs Compound,CHPS,6.7377159,-0.3456442,"OSM,HDX",0.67,8527662897,
Guaman CHPs Compound,CHPS,7.4480408,0.4425852,"OSM,HDX",0.67,8614146158,
Gyamlome CHPs Compound,CHPS,7.5811885,0.4434741,"OSM,HDX",0.67,8645197073,
Have CHPs Compound,CHPS,6.527771,0.438216,"OSM,HDX",0.67,8561090485,
Hodzoka CHPs Compound,CHPS,6.6701113,0.5752478,"OSM,HDX",0.67,8564393293,
Hovered CHPs Compound,CHPS,6.5981169,0.4302969,"OSM,HDX",0.67,8574349333,
Kabisayor CHPs Compound,CHPS,7.4146162,0.4726591,"OSM,HDX",0.67,8620745069,
Koranteng CHPs Compound,CHPS,7.0584876,-0.1624817,"OSM,HDX",0.67,8509955777,
Koranteng Krachi CHPs,CHPS,7.0950537,-0.1914645,"OSM,HDX",0.67,8509954038,
Kpazie Community Health Planning and Service (CHPS) Compound,CHPS,10.4123906,-2.6956042,OSM,0.63,1272568879,Government of Ghana
Kpenoe CHPs Compound,CHPS,6.6314431,0.5109812,"OSM,HDX",0.67,8550401195,
Kpoeta (Kpɔ̃ta) CHPs Compound,CHPS,6.9094205,0.5426818,"OSM,HDX",0.67,8583272542,
Kwaekesse CHPs Compound,CHPS,7.0574664,-0.1161307,"OSM,HDX",0.67,8507753662,
Kwame Dwamena CHPs Compound,CHPS,6.7409956,-0.3117113,"OSM,HDX",0.67,8527682027,
Kwesi Kumah CHPs Compound,CHPS,6.9705129,-0.1632476,"OSM,HDX",0.67,8515469559,
Lokoe CHPs Compound,CHPS,6.5994827,0.4441626,"OSM,HDX",0.67,8574317869,
Luvudo CHPs Compound,CHPS,6.8762788,0.5249901,"OSM,HDX",0.67,8583234114,
Mafikope CHPs Compound,CHPS,7.1693366,0.0336491,"OSM,HDX",0.67,8506871889,
Mmradan CHPs Compound,CHPS,7.0208187,-0.2189973,"OSM,HDX",0.67,8515501736,
Okanease CHPs,CHPS,7.742699,0.3662283,"OSM,HDX",0.67,8620757871,
Okanta CHPs Compound,CHPS,7.54357,0.4871833,"OSM,HDX",0.67,8645225331,
Tapa Amanya CHPs Compound,CHPS,7.4517949,0.3407377,"OSM,HDX",0.67,8620750318,
Tease Island CHPs Compound,CHPS,6.7618993,-0.2323986,"OSM,HDX",0.67,8520539551,
Teteman CHPs Compound,CHPS,7.3036365,0.5081259,"OSM,HDX",0.67,8614150137,
Tokokoe CHPs Compound,CHPS,6.718498,0.5555533,"OSM,HDX",0.67,8564405849,
kwasi Addae CHPs Compound,CHPS,7.0120056,-0.231568,"OSM,HDX",0.67,8515513909,
21st Clinic,Clinic,5.3030901,-1.9927007,OSM,0.53,460945267,
Aboadze Clinic,Clinic,4.9733344,-1.6500323,OSM,0.53,1149523527,
Abodom CHPS Compound,Clinic,6.1642186,-0.8186405,OSM,0.53,686138088,
Aboso Clinic,Clinic,5.3658203,-1.9409662,"OSM,HDX,healthsites",0.81,4803881309,
Abotoase Health Centre,Clinic,7.4064593,0.3032677,"OSM,HDX,healthsites",0.81,8620744517,
Abubruwa CHPS Compound,Clinic,7.9330107,0.5377045,"OSM,HDX,healthsites",0.81,8645224486,
Abura Clinic,Clinic,5.1311773,-1.2727752,"OSM,HDX,healthsites",0.81,5846864746,
Accra New Town CHPS Compound,Clinic,5.5830514,-0.2059619,OSM,0.63,707847400,Ghana Health Service
Acheampong Specialist Clinic,Clinic,5.5616954,-0.1725763,"OSM,HDX,healthsites",0.81,6356087258,
Achievers Medical Centre/Pharmacy,Clinic,6.6252406,-1.2075522,"OSM,HDX",0.67,12492183573,
Achimfo Chips,Clinic,5.7842722,-2.7227839,"OSM,HDX,healthsites",0.81,10675101359,
Acolatse Clinic,Clinic,6.7051444,-1.6471662,OSM,0.53,561736824,
Adaa CHPS Compound,Clinic,7.2445264,-1.8550088,"OSM,HDX,healthsites",0.81,7258191886,
Adabraka clinic,Clinic,5.5662728,-0.2095995,"OSM,HDX,healthsites",0.83,1728032224,
Adaklu Ahunda Health Centre,Clinic,6.2884718,0.5447816,"OSM,HDX,healthsites",0.81,7566448586,
Adawukwao CHIPS Compound,Clinic,5.6721049,-0.5151614,"OSM,HDX,healthsites",0.92,4801479847,Government
Addis Medical Laboratory,Clinic,7.3330164,-2.3215114,"OSM,HDX,healthsites",0.81,5984134810,
Adeiso Polyclinic,Clinic,5.7995879,-0.4906689,OSM,0.63,786945317,Ghana Health Service
Adenta Clinic,Clinic,5.7060649,-0.1681089,"OSM,HDX,healthsites",0.81,4400510392,
Adowa Boatemaa Memorial Clinic,Clinic,5.5330576,-0.2373638,"OSM,HDX,healthsites",0.81,8868150633,
Afenyo Memorial Hospital,Clinic,5.6921057,-0.0342412,"OSM,HDX,healthsites",0.81,4286173091,
Agbogba Community Clinic,Clinic,5.6949529,-0.2012443,"OSM,HDX,healthsites",0.81,7439191623,
Ahamasu Health Centre,Clinic,7.7255265,0.5502959,"OSM,HDX,healthsites",0.81,8635391676,
Ahmadiyya,Clinic,6.8940491,-2.5651706,OSM,0.53,574819082,
Airport Clinic Limited,Clinic,5.608267,-0.1709184,"OSM,HDX,healthsites",0.81,6923924091,
Airport Clinic Limited,Clinic,5.6074867,-0.1712902,"OSM,HDX,healthsites",0.81,6923935295,
Akai House Clinic,Clinic,5.5772342,-0.171563,OSM,0.53,702226170,
Albany Specialist Clinic,Clinic,5.6701424,-0.1838431,"OSM,HDX,healthsites",0.81,10603797382,
