Hub_ID,Latitude,Longitude,Type,N_facilities,N_covered,Pop_desservie,Dist_max_km,Dist_moy_km,N_drones,CAPEX_USD,OPEX_annuel_USD
0,7.010196,0.360734,Micro,149,149,12917954,73.36,33.43,8,700000,131000
1,7.707216,-1.90188,Micro,52,48,15094514,95.82,40.02,4,700000,131000
2,5.250319,-1.556866,Micro,90,89,90635112,86.65,44.72,5,700000,131000
3,9.697705,0.067493,Micro,27,27,28865829,73.93,44.99,4,700000,131000
4,6.159095,0.664935,Micro,78,78,63349562,60.09,33.47,4,700000,131000
5,10.06654,-2.520868,Micro,44,39,37046535,115.37,31.89,4,700000,131000
6,9.432528,-1.017283,Micro,60,50,146668228,102.59,38.73,4,700000,131000
7,5.636797,-0.255169,Standard,239,239,648070476,72.53,20.52,12,2000000,311000
8,6.714017,-1.578396,Micro,98,98,148958629,64.07,19.45,5,700000,131000
9,5.670289,-2.458074,Micro,61,56,42122364,83.63,50.44,4,700000,131000
10,8.31955,0.205362,Micro,51,47,45805327,94.68,46.63,4,700000,131000
11,10.73174,-0.805527,Micro,62,60,84788580,90.18,37.55,4,700000,131000
12,6.964501,-2.493106,Micro,66,65,69030220,97.72,43.47,4,700000,131000
13,6.314442,-0.478122,Micro,73,72,32423985,80.67,40.16,4,700000,131000
