Hub_ID,Latitude,Longitude,Facilities_dans_cluster,Facilities_couvertes,Pop_desservie,Dist_max_km,CAPEX_USD,OPEX_annuel_USD
1,9.13392,-1.811124,16,15,661071,33.29,700000,131000
2,5.138152,-1.234835,85,80,35973203,33.64,700000,131000
3,5.962055,0.877298,17,16,22307713,34.96,700000,131000
4,7.291863,-2.324157,40,35,17803359,43.17,700000,131000
5,9.621674,0.177071,14,12,9547238,38.12,700000,131000
6,4.977404,-2.423691,10,10,189902,23.98,700000,131000
7,10.007092,-2.490435,42,40,35781823,32.94,700000,131000
8,9.41609,-0.848765,92,92,130636365,25.07,700000,131000
9,7.215047,0.540956,25,25,147266,14.5,700000,131000
10,5.317765,-1.992845,50,49,17283262,34.85,700000,131000
11,7.974744,-1.62854,17,12,12705775,49.49,700000,131000
12,5.38208,-0.65788,35,34,18532217,33.7,700000,131000
13,8.524989,0.322661,15,15,5640190,27.31,700000,131000
14,10.96661,-0.165096,7,7,706460,20.15,700000,131000
15,4.927182,-1.766175,54,53,30427889,33.37,700000,131000
16,5.678067,-1.571708,30,24,9826657,60.9,700000,131000
17,5.2425,-2.779287,20,20,11148744,25.15,700000,131000
18,7.650557,-2.652783,15,11,1319888,40.22,700000,131000
19,10.555233,-2.669027,11,8,1250779,41.82,700000,131000
20,7.61697,-1.948069,20,20,429148,22.47,700000,131000
21,7.03869,-0.519945,1,1,19482,0.0,700000,131000
22,9.057491,0.055455,11,9,33749191,47.49,700000,131000
23,10.238946,0.262764,5,5,2085742,15.48,700000,131000
24,6.870005,-3.133472,4,4,60340,18.94,700000,131000
25,8.435314,-0.556602,3,3,164420,25.16,700000,131000
26,8.652624,-1.521426,4,4,5551096,17.36,700000,131000
27,6.152776,1.107368,18,16,5840210,34.66,700000,131000
28,5.682828,0.07524,2,2,5552698,6.83,700000,131000
29,9.178461,-2.415541,3,3,54077,18.86,700000,131000
