Hub_ID,Latitude,Longitude,Type,N_villages,N_rural,N_facilities_drone,Pop_totale,Pop_rurale,Dist_max_km,Dist_moy_km,N_non_couverts,N_drones,CAPEX_USD,OPEX_annuel_USD
0,7.390177,-2.393836,Micro,550,519,45,1788652,1306811,108.49,40.79,19,4,700000,131000
1,6.132799,0.208901,Micro,716,640,98,3027160,1782280,109.19,45.68,47,5,700000,131000
2,9.919322,0.064062,Micro,301,294,18,359383,290298,96.25,48.29,16,4,700000,131000
3,5.365953,-1.294275,Micro,716,688,53,3972438,2932033,86.67,35.17,5,4,700000,131000
4,8.43439,-0.031499,Micro,398,395,40,660315,629647,107.43,50.5,55,4,700000,131000
5,6.623074,-1.616446,Micro,1147,983,72,13358209,3310249,75.97,33.73,0,4,700000,131000
6,10.004815,-2.535369,Micro,283,270,39,609646,440152,136.66,52.75,91,4,700000,131000
7,7.063228,0.295847,Micro,330,308,147,1033411,757209,88.55,38.67,5,8,700000,131000
8,6.611128,-2.622128,Micro,669,660,43,793712,727559,84.12,35.22,3,4,700000,131000
9,6.531967,-0.695522,Micro,674,670,47,1593010,1579719,85.09,32.8,5,4,700000,131000
10,5.506337,-2.301729,Micro,392,360,60,1257748,1137950,99.44,55.8,25,4,700000,131000
11,7.62337,-1.66118,Micro,497,486,45,1037945,881079,135.58,46.73,48,4,700000,131000
12,9.46968,-0.969824,Micro,512,465,34,2028728,570950,116.73,30.37,27,4,700000,131000
13,5.800975,-0.595577,Micro,1318,1067,99,22895740,9617844,76.17,33.33,0,5,700000,131000
14,10.559015,-0.767659,Micro,402,362,47,889647,671849,127.81,45.92,24,4,700000,131000
