Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km,Is_Rural,Hub_ID,Distance_Hub_km,Hub_Latitude,Hub_Longitude,Covered
1000 Acre,6.5085577,-2.592602,227.0,530.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,9.11,0.81,38.04244336232272,True,12,51.88,6.964500993939394,-2.4931057818181817,True
A.G.A,6.1985302,-1.6641394,223.0,12632.0,WorldPop_2020,suburb,Unnamed Hospital,Hospital,6.203002,-1.6847518,2.33,0.33,90.81157749160351,False,8,58.1,6.714017028571429,-1.578396487755102,True
AB Bokazo,5.0090926,-2.4365667,26.0,1698.0,WorldPop_2020,village/town/hamlet,Kamgbunli Clinic,Clinic,4.9771869,-2.415183,4.27,0.81,129.8144834886286,True,9,73.56,5.670289039344262,-2.458074481967213,True
ABREWANKOR,8.3496438,0.5032843,231.0,739.0,WorldPop_2020,village/town/hamlet,Keri CHPS Compound,Clinic,8.3863316,0.5275486,4.88,0.53,83.38403727490352,True,10,32.95,8.31955012745098,0.20536231960784324,True
Aaba,10.4326537,-1.1046302,145.0,1262.0,WorldPop_2020,village/town/hamlet,Kpasinkpe Health Centre,Clinic,10.4471711,-1.0469888,6.51,0.53,34.30963450192497,True,11,46.64,10.73173961451613,-0.8055273370967743,True
Abaam,6.2175323,-0.8315625,181.0,3744.0,WorldPop_2020,village/town/hamlet,Abodom CHPS Compound,Clinic,6.1642186,-0.8186405,6.1,0.53,42.67982480005406,True,13,40.52,6.314441660273973,-0.4781223835616439,True
Abaasa,5.3652643,-0.9475264,97.0,7576.0,WorldPop_2020,village/town/hamlet,GHS,Clinic,5.3833164,-0.9250126,3.2,0.92,107.97817494738096,True,2,68.66,5.250318833333333,-1.5568655866666665,True
Abaasa,5.5880185,-1.6215375,70.0,359.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.6137342,-1.5527295,8.13,0.92,115.95943053924732,True,2,38.23,5.250318833333333,-1.5568655866666665,True
Abaase,6.5141918,-1.4426229,134.0,299.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,6.1,0.53,60.08530359955966,True,8,26.81,6.714017028571429,-1.578396487755102,True
Abaasua,6.9774279,-1.3994698,346.0,429.0,WorldPop_2020,village/town/hamlet,Nsuta Polyclinic,Clinic,7.0083969,-1.3816722,3.96,0.91,8.662103863654185,True,8,35.33,6.714017028571429,-1.578396487755102,True
