Village,Latitude,Longitude,Population,Place_Type,Hub_ID,Dist_hub_km,Covered,Operateur
1000 Acre,6.5085577,-2.592602,530.0,village/town/hamlet,28,38.23,True,Zipline
A.G.A,6.1985302,-1.6641394,12632.0,suburb,-1,-1.0,False,Aucun
AB Bokazo,5.0090926,-2.4365667,1698.0,village/town/hamlet,17,12.15,True,MASA
ABREWANKOR,8.3496438,0.5032843,739.0,village/town/hamlet,13,26.43,True,MASA
Aaba,10.4326537,-1.1046302,1262.0,village/town/hamlet,27,34.28,True,Zipline
Abaam,6.2175323,-0.8315625,3744.0,village/town/hamlet,25,42.63,True,Zipline
Abaasa,5.3652643,-0.9475264,7576.0,village/town/hamlet,1,21.54,True,MASA
Abaasa,5.5880185,-1.6215375,359.0,village/town/hamlet,10,14.59,True,MASA
Abaase,6.5141918,-1.4426229,299.0,village/town/hamlet,26,60.41,True,Zipline
Abaasua,6.9774279,-1.3994698,429.0,village/town/hamlet,26,8.71,True,Zipline
Ababio,5.7654818,-0.6030856,2108.0,village/town/hamlet,25,51.62,True,Zipline
Abagamia,10.9850817,-0.7567267,282.0,village/town/hamlet,27,71.14,True,Zipline
Abagyi Nakrom,6.5147149,-2.9600789,299.0,village/town/hamlet,28,64.27,True,Zipline
Abakabon,5.7254582,-0.7780257,399.0,isolated_dwelling,25,64.52,True,Zipline
Abakoase,6.4193945,-0.6314291,3011.0,village/town/hamlet,25,31.62,True,Zipline
Abakrampa,5.2482441,-1.234513,5370.0,village/town/hamlet,1,20.33,True,MASA
Abama,7.6788799,-1.1889994,635.0,village/town/hamlet,21,19.33,True,MASA
Abamkrom,5.6912482,-0.6214142,1358.0,village/town/hamlet,25,60.08,True,Zipline
Abamkrom,5.7391145,-0.6463695,1509.0,village/town/hamlet,25,56.1,True,Zipline
Abandze,5.1946711,-1.0941657,6667.0,village/town/hamlet,1,4.34,True,MASA
Abanfua,7.6858844,-2.2902672,62.0,village/town/hamlet,5,25.97,True,MASA
Abankwakurom,6.9963624,-0.101712,345.0,village/town/hamlet,29,63.56,True,Zipline
Abansfara Aboano,5.2121925,-0.8399713,2034.0,village/town/hamlet,1,23.97,True,MASA
Abansu,5.7069336,-0.2801889,7205.0,village/town/hamlet,25,58.1,True,Zipline
Abase,5.4594005,-1.2292135,793.0,village/town/hamlet,-1,-1.0,False,Aucun
Abasi,6.8952482,-1.2357162,2021.0,village/town/hamlet,26,24.23,True,Zipline
Abasua,6.7236772,-1.9357887,669.0,village/town/hamlet,26,71.02,True,Zipline
Abawdikro,7.609216,-1.9605753,6059.0,suburb,5,27.3,True,MASA
Abeadze Dominase,5.3498444,-1.088851,3094.0,village/town/hamlet,1,16.55,True,MASA
Abease,7.9585737,-1.1802827,4572.0,village/town/hamlet,21,26.43,True,MASA
Abebresekrom,6.7698888,-2.5347331,407.0,isolated_dwelling,28,65.61,True,Zipline
Abedwum,6.3009396,-1.6586888,1512.0,village/town/hamlet,-1,-1.0,False,Aucun
Abeka,5.5999841,-0.2418328,82810.0,suburb,25,70.73,True,Zipline
Abekope,5.7690723,0.0383914,3050.0,suburb,25,72.09,True,Zipline
Abekwai,7.8463971,-2.1670998,234.0,village/town/hamlet,-1,-1.0,False,Aucun
Abelenkpe,5.6080036,-0.2173342,69992.0,suburb,25,70.81,True,Zipline
Aben,5.4564074,-1.1914212,378.0,village/town/hamlet,-1,-1.0,False,Aucun
Abena Akokrom,7.0314271,-2.5175493,488.0,village/town/hamlet,8,18.93,True,MASA
Abenaboma,6.7194899,-0.5384159,383.0,village/town/hamlet,25,58.36,True,Zipline
Abenase,6.007133,-1.0354262,7731.0,village/town/hamlet,25,68.68,True,Zipline
Abenase,6.5679025,-0.7789242,7547.0,village/town/hamlet,25,54.78,True,Zipline
Abenase,6.6864131,-1.4388088,3716.0,village/town/hamlet,26,41.35,True,Zipline
Abenaso,6.2175255,-0.7431893,1588.0,village/town/hamlet,25,32.87,True,Zipline
Abenawia,6.0089871,-0.1419613,709.0,village/town/hamlet,25,39.94,True,Zipline
Abenayo,5.8746635,-0.5464304,793.0,village/town/hamlet,25,38.12,True,Zipline
Abene,6.7026898,-0.785397,807.0,village/town/hamlet,25,67.05,True,Zipline
Abenoa,7.0971715,-0.9365834,491.0,village/town/hamlet,26,49.76,True,Zipline
Abepotia,6.5417855,-0.7910828,4664.0,village/town/hamlet,25,53.61,True,Zipline
Aberenkwo Junction,8.3119085,0.4817759,525.0,village/town/hamlet,13,27.56,True,MASA
Aberenwanko Ananfo,6.1251563,-0.184131,674.0,village/town/hamlet,25,30.23,True,Zipline
Aberfor,5.5910817,-0.5485057,853.0,village/town/hamlet,4,25.18,True,MASA
Abertima,6.1294704,-0.1132642,388.0,village/town/hamlet,25,37.7,True,Zipline
Abesem,6.2235211,-0.6255515,778.0,village/town/hamlet,25,19.96,True,Zipline
Abesewa,6.4236146,-1.5556316,1744.0,village/town/hamlet,26,72.62,True,Zipline
Abesewa,7.0429425,-2.0223312,1641.0,village/town/hamlet,26,70.29,True,Zipline
Abesewase,6.773378,-1.3831642,523.0,village/town/hamlet,26,31.26,True,Zipline
Abesey,5.7145239,-0.2718151,5411.0,village/town/hamlet,25,57.61,True,Zipline
Abesim,6.6608645,-2.4917024,507.0,isolated_dwelling,28,53.25,True,Zipline
Abesim,7.287233,-2.2693527,3962.0,suburb,8,20.59,True,MASA
Abesim-Nkran No.1,7.2727448,-2.3123015,1194.0,village/town/hamlet,8,16.19,True,MASA
Abesle,6.4262587,-0.2231893,732.0,village/town/hamlet,25,35.01,True,Zipline
Abesre,6.4149634,-0.2164231,695.0,village/town/hamlet,25,34.67,True,Zipline
Abetema,5.8605062,-0.2737087,408.0,village/town/hamlet,25,42.56,True,Zipline
Abetenim,6.7961873,-1.3837553,376.0,village/town/hamlet,26,28.72,True,Zipline
Abetifi,6.672433,-0.743845,5631.0,village/town/hamlet,25,61.72,True,Zipline
Abetima,6.3066075,-0.1077068,412.0,village/town/hamlet,29,36.06,True,Zipline
Abeyee,5.1438159,-1.4792578,1490.0,village/town/hamlet,-1,-1.0,False,Aucun
Abi,7.4696208,-2.6380881,447.0,village/town/hamlet,16,20.78,True,MASA
Abiadi Eshiem,5.4287555,-0.8718567,1191.0,village/town/hamlet,4,25.16,True,MASA
Abidjan,6.9441491,-2.7859784,666.0,village/town/hamlet,-1,-1.0,False,Aucun
Abira,6.7715525,-1.4937285,1370.0,village/town/hamlet,26,33.65,True,Zipline
Abiram,6.3852945,-1.9719586,1249.0,village/town/hamlet,28,60.99,True,Zipline
Abirem,6.3016964,-1.0066223,2558.0,village/town/hamlet,25,62.92,True,Zipline
Abirem,6.7450111,-1.5511494,3376.0,village/town/hamlet,26,38.97,True,Zipline
Abirikasu,7.4912913,-2.8333578,2200.0,village/town/hamlet,16,11.81,True,MASA
Abiriw,5.9795454,-0.0891667,11096.0,village/town/hamlet,25,46.63,True,Zipline
Abisu,6.6532504,-0.5436516,259.0,village/town/hamlet,25,51.24,True,Zipline
Abisu,7.539309,-2.3917928,821.0,village/town/hamlet,5,24.9,True,MASA
Abisu No.1,6.6256624,-0.5685934,288.0,village/town/hamlet,25,48.94,True,Zipline
Abisu No.2,6.6202166,-0.5598199,235.0,village/town/hamlet,25,48.09,True,Zipline
Abladjei,5.7100153,-0.2057269,8809.0,suburb,25,60.9,True,Zipline
Ablekuma,5.6279342,-0.3135003,10542.0,village/town/hamlet,25,65.57,True,Zipline
Ablekuma Newtown,5.6373022,-0.3137724,9749.0,suburb,25,64.55,True,Zipline
Ablornu,6.3497457,0.6375725,515.0,village/town/hamlet,29,54.71,True,Zipline
Aboabo,5.6557442,-1.6210359,1288.0,village/town/hamlet,10,20.76,True,MASA
Aboabo,5.9337346,-0.9513381,9792.0,village/town/hamlet,25,63.36,True,Zipline
Aboabo,6.1185735,-0.2350455,4522.0,village/town/hamlet,25,25.15,True,Zipline
Aboabo,6.2097883,-1.3608106,949.0,village/town/hamlet,-1,-1.0,False,Aucun
Aboabo,6.3667325,-1.6698575,674.0,village/town/hamlet,-1,-1.0,False,Aucun
Aboabo,6.4467378,-2.3559167,376.0,village/town/hamlet,28,32.69,True,Zipline
Aboabo,6.5862346,-0.4380128,262.0,village/town/hamlet,25,42.66,True,Zipline
Aboabo,6.6989717,-1.5978764,90485.0,suburb,26,45.96,True,Zipline
Aboabo Camp,5.5684236,-1.3855607,352.0,village/town/hamlet,10,18.46,True,MASA
Aboabo No.1,5.9372674,-0.2361631,997.0,village/town/hamlet,25,37.56,True,Zipline
Aboabo No.2,5.9370647,-0.2412701,994.0,village/town/hamlet,25,37.23,True,Zipline
Aboabo No.2,6.2217537,-1.3549957,2111.0,village/town/hamlet,-1,-1.0,False,Aucun
Aboabo No.2,7.2090449,-2.8078846,4261.0,village/town/hamlet,-1,-1.0,False,Aucun
Aboabo No.4,7.1976708,-2.8072959,3493.0,village/town/hamlet,-1,-1.0,False,Aucun
Aboabo Odumase,5.9955856,-0.3992093,624.0,village/town/hamlet,25,23.61,True,Zipline
Aboabo Tetekaso,6.5689859,-1.9049066,1144.0,village/town/hamlet,28,77.16,True,Zipline
Aboabo-Sonko,5.9911041,-0.504832,306.0,village/town/hamlet,25,24.41,True,Zipline
Aboabogya,6.5483704,-2.2732469,376.0,village/town/hamlet,28,46.95,True,Zipline
Aboabogya,6.8405314,-1.6102758,413.0,village/town/hamlet,26,34.37,True,Zipline
Aboabokese,6.5933115,-1.624158,4178.0,village/town/hamlet,26,57.66,True,Zipline
Aboaboso,6.6396071,-2.5488335,480.0,village/town/hamlet,28,51.38,True,Zipline
Aboabota,6.6201899,-1.6444087,9783.0,village/town/hamlet,26,56.12,True,Zipline
Aboade,4.8946087,-1.9392318,4241.0,village/town/hamlet,3,25.35,True,MASA
Aboadze,4.972723,-1.650084,17233.0,village/town/hamlet,3,8.25,True,MASA
Aboagyaa,6.9886472,-2.5616464,208.0,village/town/hamlet,8,25.72,True,MASA
Aboagyekrom,5.6338919,-2.4497176,247.0,village/town/hamlet,28,61.07,True,Zipline
Aboagyekrom,6.1855528,-1.6542658,9983.0,suburb,-1,-1.0,False,Aucun
